Job_Name,Job_URL,Job_Last_Build_Status
ansible-jenkins,http://192.168.56.177:8080/job/ansible-jenkins/,red
ansible-jenkins-jfrog2,http://192.168.56.177:8080/job/ansible-jenkins-jfrog2/,red
Dev,http://192.168.56.177:8080/job/Dev/,
devops,http://192.168.56.177:8080/job/devops/,
first-job,http://192.168.56.177:8080/job/first-job/,blue
geolocation2023,http://192.168.56.177:8080/job/geolocation2023/,blue
jfrog-test-pipeline,http://192.168.56.177:8080/job/jfrog-test-pipeline/,blue
job-sample,http://192.168.56.177:8080/job/job-sample/,blue
job1,http://192.168.56.177:8080/job/job1/,notbuilt
job10,http://192.168.56.177:8080/job/job10/,blue
job3,http://192.168.56.177:8080/job/job3/,blue
k8s-test,http://192.168.56.177:8080/job/k8s-test/,red
mavenProject,http://192.168.56.177:8080/job/mavenProject/,blue
pipelinejob,http://192.168.56.177:8080/job/pipelinejob/,blue
QA,http://192.168.56.177:8080/job/QA/,
terraform-code,http://192.168.56.177:8080/job/terraform-code/,blue
terraform-code1,http://192.168.56.177:8080/job/terraform-code1/,blue
week16,http://192.168.56.177:8080/job/week16/,
